symbol,datetime,price
CL=F,2025-05-21 03:00:00,62.92
CL=F,2025-05-21 04:00:00,62.82
CL=F,2025-05-21 05:00:00,62.85
CL=F,2025-05-21 06:00:00,62.55
CL=F,2025-05-21 07:00:00,62.6
CL=F,2025-05-21 08:00:00,62.82
CL=F,2025-05-21 09:00:00,62.51
CL=F,2025-05-21 10:00:00,61.95
CL=F,2025-05-21 11:00:00,61.76
CL=F,2025-05-21 12:00:00,61.95
CL=F,2025-05-21 13:00:00,61.64
CL=F,2025-05-21 14:00:00,61.52
CL=F,2025-05-21 15:00:00,61.32
CL=F,2025-05-21 16:00:00,61.34
CL=F,2025-05-21 18:00:00,61.28
CL=F,2025-05-21 19:00:00,61.34
CL=F,2025-05-21 20:00:00,61.25
CL=F,2025-05-21 21:00:00,61.37
CL=F,2025-05-21 22:00:00,61.51
CL=F,2025-05-21 23:00:00,61.54
CL=F,2025-05-22 00:00:00,61.66
CL=F,2025-05-22 01:00:00,61.74
CL=F,2025-05-22 02:00:00,60.57
CL=F,2025-05-22 03:00:00,60.97
CL=F,2025-05-22 04:00:00,60.83
CL=F,2025-05-22 05:00:00,60.68
CL=F,2025-05-22 06:00:00,60.29
CL=F,2025-05-22 07:00:00,60.46
CL=F,2025-05-22 08:00:00,60.51
CL=F,2025-05-22 09:00:00,60.55
CL=F,2025-05-22 10:00:00,60.84
CL=F,2025-05-22 11:00:00,60.67
CL=F,2025-05-22 12:00:00,61.2
CL=F,2025-05-22 13:00:00,61.14
CL=F,2025-05-22 14:00:00,61.18
CL=F,2025-05-22 15:00:00,60.89
CL=F,2025-05-22 16:00:00,60.81
CL=F,2025-05-22 18:00:00,60.77
CL=F,2025-05-22 19:00:00,60.79
CL=F,2025-05-22 20:00:00,60.89
CL=F,2025-05-22 21:00:00,60.82
CL=F,2025-05-22 22:00:00,60.7
CL=F,2025-05-22 23:00:00,60.78
CL=F,2025-05-23 00:00:00,60.77
CL=F,2025-05-23 01:00:00,60.83
CL=F,2025-05-23 02:00:00,60.66
CL=F,2025-05-23 03:00:00,60.75
CL=F,2025-05-23 04:00:00,60.75
CL=F,2025-05-23 05:00:00,61.17
CL=F,2025-05-23 06:00:00,61.31
CL=F,2025-05-23 07:00:00,60.44
CL=F,2025-05-23 08:00:00,60.44
CL=F,2025-05-23 09:00:00,61.15
CL=F,2025-05-23 10:00:00,61.46
CL=F,2025-05-23 11:00:00,61.62
CL=F,2025-05-23 12:00:00,61.39
CL=F,2025-05-23 13:00:00,61.54
CL=F,2025-05-23 14:00:00,61.69
CL=F,2025-05-23 15:00:00,61.63
CL=F,2025-05-23 16:00:00,61.76
CL=F,2025-05-25 18:00:00,61.97
CL=F,2025-05-25 19:00:00,61.92
CL=F,2025-05-25 20:00:00,61.76
CL=F,2025-05-25 21:00:00,61.72
CL=F,2025-05-25 22:00:00,61.54
CL=F,2025-05-25 23:00:00,61.69
CL=F,2025-05-26 00:00:00,61.76
CL=F,2025-05-26 01:00:00,61.76
CL=F,2025-05-26 02:00:00,61.73
CL=F,2025-05-26 03:00:00,61.82
CL=F,2025-05-26 04:00:00,61.83
CL=F,2025-05-26 05:00:00,61.59
CL=F,2025-05-26 06:00:00,61.31
CL=F,2025-05-26 07:00:00,61.44
CL=F,2025-05-26 08:00:00,61.48
CL=F,2025-05-26 09:00:00,61.28
CL=F,2025-05-26 10:00:00,61.32
CL=F,2025-05-26 11:00:00,61.63
CL=F,2025-05-26 12:00:00,61.49
CL=F,2025-05-26 13:00:00,61.54
CL=F,2025-05-26 14:00:00,61.53
CL=F,2025-05-26 18:00:00,61.46
CL=F,2025-05-26 19:00:00,61.48
CL=F,2025-05-26 20:00:00,61.71
CL=F,2025-05-26 21:00:00,61.37
CL=F,2025-05-26 22:00:00,61.35
CL=F,2025-05-26 23:00:00,61.31
CL=F,2025-05-27 00:00:00,61.24
CL=F,2025-05-27 01:00:00,61.3
CL=F,2025-05-27 02:00:00,61.54
CL=F,2025-05-27 03:00:00,61.22
CL=F,2025-05-27 04:00:00,61.6
CL=F,2025-05-27 05:00:00,61.66
CL=F,2025-05-27 06:00:00,61.38
CL=F,2025-05-27 07:00:00,61.19
CL=F,2025-05-27 08:00:00,61.3
CL=F,2025-05-27 09:00:00,61.12
CL=F,2025-05-27 10:00:00,60.53
CL=F,2025-05-27 11:00:00,60.45
CL=F,2025-05-27 12:00:00,60.73
CL=F,2025-05-27 13:00:00,60.7
CL=F,2025-05-27 14:00:00,60.93
CL=F,2025-05-27 15:00:00,60.99
CL=F,2025-05-27 16:00:00,61.07
CL=F,2025-05-27 18:00:00,61.14
CL=F,2025-05-27 19:00:00,61.22
CL=F,2025-05-27 20:00:00,61.36
CL=F,2025-05-27 21:00:00,61.19
CL=F,2025-05-27 22:00:00,61.31
CL=F,2025-05-27 23:00:00,61.15
CL=F,2025-05-28 00:00:00,61.18
CL=F,2025-05-28 01:00:00,61.12
CL=F,2025-05-28 02:00:00,60.94
CL=F,2025-05-28 03:00:00,61.35
CL=F,2025-05-28 04:00:00,61.03
CL=F,2025-05-28 05:00:00,61.33
CL=F,2025-05-28 06:00:00,61.49
CL=F,2025-05-28 07:00:00,61.42
CL=F,2025-05-28 08:00:00,61.78
CL=F,2025-05-28 09:00:00,61.82
CL=F,2025-05-28 10:00:00,61.67
CL=F,2025-05-28 11:00:00,62.33
CL=F,2025-05-28 12:00:00,62.16
GC=F,2025-05-21 00:00:00,3304.2
GC=F,2025-05-21 01:00:00,3318.2
GC=F,2025-05-21 02:00:00,3321.8999
GC=F,2025-05-21 03:00:00,3311.8
GC=F,2025-05-21 04:00:00,3310.7
GC=F,2025-05-21 05:00:00,3315.6001
GC=F,2025-05-21 06:00:00,3314.2
GC=F,2025-05-21 07:00:00,3313.3
GC=F,2025-05-21 08:00:00,3304.3
GC=F,2025-05-21 09:00:00,3306.1001
GC=F,2025-05-21 10:00:00,3306.8
GC=F,2025-05-21 11:00:00,3313.8
GC=F,2025-05-21 12:00:00,3305.2
GC=F,2025-05-21 13:00:00,3318.8
GC=F,2025-05-21 14:00:00,3316.5
GC=F,2025-05-21 15:00:00,3320.8999
GC=F,2025-05-21 16:00:00,3316.6001
GC=F,2025-05-21 18:00:00,3319.3999
GC=F,2025-05-21 19:00:00,3321.7
GC=F,2025-05-21 20:00:00,3325.2
GC=F,2025-05-21 21:00:00,3339.0
GC=F,2025-05-21 22:00:00,3342.3
GC=F,2025-05-21 23:00:00,3336.6001
GC=F,2025-05-22 00:00:00,3339.6001
GC=F,2025-05-22 01:00:00,3333.5
GC=F,2025-05-22 02:00:00,3327.6001
GC=F,2025-05-22 03:00:00,3328.3
GC=F,2025-05-22 04:00:00,3311.7
GC=F,2025-05-22 05:00:00,3305.3999
GC=F,2025-05-22 06:00:00,3289.7
GC=F,2025-05-22 07:00:00,3314.3
GC=F,2025-05-22 08:00:00,3303.6001
GC=F,2025-05-22 09:00:00,3286.8999
GC=F,2025-05-22 10:00:00,3296.3
GC=F,2025-05-22 11:00:00,3294.0
GC=F,2025-05-22 12:00:00,3300.8999
GC=F,2025-05-22 13:00:00,3295.6001
GC=F,2025-05-22 14:00:00,3293.6001
GC=F,2025-05-22 15:00:00,3290.3999
GC=F,2025-05-22 16:00:00,3295.1001
GC=F,2025-05-22 18:00:00,3297.8
GC=F,2025-05-22 19:00:00,3300.0
GC=F,2025-05-22 20:00:00,3299.8
GC=F,2025-05-22 21:00:00,3303.8
GC=F,2025-05-22 22:00:00,3295.5
GC=F,2025-05-22 23:00:00,3301.8
GC=F,2025-05-23 00:00:00,3313.0
GC=F,2025-05-23 01:00:00,3323.5
GC=F,2025-05-23 02:00:00,3330.8999
GC=F,2025-05-23 03:00:00,3328.8999
GC=F,2025-05-23 04:00:00,3326.2
GC=F,2025-05-23 05:00:00,3328.5
GC=F,2025-05-23 06:00:00,3328.2
GC=F,2025-05-23 07:00:00,3348.3
GC=F,2025-05-23 08:00:00,3357.6001
GC=F,2025-05-23 09:00:00,3340.2
GC=F,2025-05-23 10:00:00,3359.7
GC=F,2025-05-23 11:00:00,3361.6001
GC=F,2025-05-23 12:00:00,3359.3999
GC=F,2025-05-23 13:00:00,3363.0
GC=F,2025-05-23 14:00:00,3361.7
GC=F,2025-05-23 15:00:00,3360.3999
GC=F,2025-05-23 16:00:00,3357.7
GC=F,2025-05-25 18:00:00,3342.5
GC=F,2025-05-25 19:00:00,3341.5
GC=F,2025-05-25 20:00:00,3340.3999
GC=F,2025-05-25 21:00:00,3343.3
GC=F,2025-05-25 22:00:00,3347.0
GC=F,2025-05-25 23:00:00,3345.8
GC=F,2025-05-26 00:00:00,3348.6001
GC=F,2025-05-26 01:00:00,3346.5
GC=F,2025-05-26 02:00:00,3336.3999
GC=F,2025-05-26 03:00:00,3336.6001
GC=F,2025-05-26 04:00:00,3333.2
GC=F,2025-05-26 05:00:00,3328.3
GC=F,2025-05-26 06:00:00,3331.2
GC=F,2025-05-26 07:00:00,3332.8999
GC=F,2025-05-26 08:00:00,3334.2
GC=F,2025-05-26 09:00:00,3338.3
GC=F,2025-05-26 10:00:00,3337.5
GC=F,2025-05-26 11:00:00,3337.8999
GC=F,2025-05-26 12:00:00,3342.6001
GC=F,2025-05-26 13:00:00,3341.1001
GC=F,2025-05-26 14:00:00,3342.2
GC=F,2025-05-26 18:00:00,3347.5
GC=F,2025-05-26 19:00:00,3345.7
GC=F,2025-05-26 20:00:00,3344.8
GC=F,2025-05-26 21:00:00,3335.0
GC=F,2025-05-26 22:00:00,3342.2
GC=F,2025-05-26 23:00:00,3341.0
GC=F,2025-05-27 00:00:00,3330.3
GC=F,2025-05-27 01:00:00,3322.8
GC=F,2025-05-27 02:00:00,3308.3999
GC=F,2025-05-27 03:00:00,3295.8
GC=F,2025-05-27 04:00:00,3297.1001
GC=F,2025-05-27 05:00:00,3295.1001
GC=F,2025-05-27 06:00:00,3291.5
GC=F,2025-05-27 07:00:00,3286.8
GC=F,2025-05-27 08:00:00,3292.1001
GC=F,2025-05-27 09:00:00,3294.1001
GC=F,2025-05-27 10:00:00,3298.8
GC=F,2025-05-27 11:00:00,3291.8
GC=F,2025-05-27 12:00:00,3296.6001
GC=F,2025-05-27 13:00:00,3300.2
GC=F,2025-05-27 14:00:00,3302.0
GC=F,2025-05-27 15:00:00,3302.8999
GC=F,2025-05-27 16:00:00,3299.7
GC=F,2025-05-27 18:00:00,3301.7
GC=F,2025-05-27 19:00:00,3308.3
GC=F,2025-05-27 20:00:00,3307.1001
GC=F,2025-05-27 21:00:00,3300.0
GC=F,2025-05-27 22:00:00,3301.7
GC=F,2025-05-27 23:00:00,3296.7
GC=F,2025-05-28 00:00:00,3295.2
GC=F,2025-05-28 01:00:00,3305.6001
GC=F,2025-05-28 02:00:00,3306.7
GC=F,2025-05-28 03:00:00,3317.3999
GC=F,2025-05-28 04:00:00,3320.3
GC=F,2025-05-28 05:00:00,3323.3
GC=F,2025-05-28 06:00:00,3311.8999
GC=F,2025-05-28 07:00:00,3310.6001
GC=F,2025-05-28 08:00:00,3310.8999
GC=F,2025-05-28 09:00:00,3303.8999
GC=F,2025-05-28 10:00:00,3301.3
GC=F,2025-05-28 11:00:00,3294.3
GC=F,2025-05-28 12:00:00,3295.1001
SI=F,2025-05-21 00:00:00,33.27
SI=F,2025-05-21 01:00:00,33.35
SI=F,2025-05-21 02:00:00,33.34
SI=F,2025-05-21 03:00:00,33.36
SI=F,2025-05-21 04:00:00,33.33
SI=F,2025-05-21 05:00:00,33.34
SI=F,2025-05-21 06:00:00,33.325
SI=F,2025-05-21 07:00:00,33.305
SI=F,2025-05-21 08:00:00,33.345
SI=F,2025-05-21 09:00:00,33.365
SI=F,2025-05-21 10:00:00,33.55
SI=F,2025-05-21 11:00:00,33.595
SI=F,2025-05-21 12:00:00,33.62
SI=F,2025-05-21 13:00:00,33.56
SI=F,2025-05-21 14:00:00,33.595
SI=F,2025-05-21 15:00:00,33.745
SI=F,2025-05-21 16:00:00,33.575
SI=F,2025-05-21 18:00:00,33.65
SI=F,2025-05-21 19:00:00,33.65
SI=F,2025-05-21 20:00:00,33.715
SI=F,2025-05-21 21:00:00,33.735
SI=F,2025-05-21 22:00:00,33.78
SI=F,2025-05-21 23:00:00,33.8
SI=F,2025-05-22 00:00:00,33.9
SI=F,2025-05-22 01:00:00,33.805
SI=F,2025-05-22 02:00:00,33.685
SI=F,2025-05-22 03:00:00,33.665
SI=F,2025-05-22 04:00:00,33.505
SI=F,2025-05-22 05:00:00,33.36
SI=F,2025-05-22 06:00:00,32.89
SI=F,2025-05-22 07:00:00,32.985
SI=F,2025-05-22 08:00:00,33.235
SI=F,2025-05-22 09:00:00,32.99
SI=F,2025-05-22 10:00:00,33.115
SI=F,2025-05-22 11:00:00,33.165
SI=F,2025-05-22 12:00:00,33.21
SI=F,2025-05-22 13:00:00,33.24
SI=F,2025-05-22 14:00:00,33.235
SI=F,2025-05-22 15:00:00,33.165
SI=F,2025-05-22 16:00:00,33.18
SI=F,2025-05-22 18:00:00,33.205
SI=F,2025-05-22 19:00:00,33.185
SI=F,2025-05-22 20:00:00,33.2
SI=F,2025-05-22 21:00:00,33.28
SI=F,2025-05-22 22:00:00,33.235
SI=F,2025-05-22 23:00:00,33.295
SI=F,2025-05-23 00:00:00,33.34
SI=F,2025-05-23 01:00:00,33.37
SI=F,2025-05-23 02:00:00,33.365
SI=F,2025-05-23 03:00:00,33.41
SI=F,2025-05-23 04:00:00,33.375
SI=F,2025-05-23 05:00:00,33.315
SI=F,2025-05-23 06:00:00,33.26
SI=F,2025-05-23 07:00:00,33.23
SI=F,2025-05-23 08:00:00,33.325
SI=F,2025-05-23 09:00:00,33.21
SI=F,2025-05-23 10:00:00,33.465
SI=F,2025-05-23 11:00:00,33.475
SI=F,2025-05-23 12:00:00,33.555
SI=F,2025-05-23 13:00:00,33.62
SI=F,2025-05-23 14:00:00,33.645
SI=F,2025-05-23 15:00:00,33.64
SI=F,2025-05-23 16:00:00,33.64
SI=F,2025-05-25 18:00:00,33.625
SI=F,2025-05-25 19:00:00,33.59
SI=F,2025-05-25 20:00:00,33.605
SI=F,2025-05-25 21:00:00,33.695
SI=F,2025-05-25 22:00:00,33.69
SI=F,2025-05-25 23:00:00,33.65
SI=F,2025-05-26 00:00:00,33.68
SI=F,2025-05-26 01:00:00,33.725
SI=F,2025-05-26 02:00:00,33.655
SI=F,2025-05-26 03:00:00,33.675
SI=F,2025-05-26 04:00:00,33.62
SI=F,2025-05-26 05:00:00,33.495
SI=F,2025-05-26 06:00:00,33.54
SI=F,2025-05-26 07:00:00,33.535
SI=F,2025-05-26 08:00:00,33.575
SI=F,2025-05-26 09:00:00,33.465
SI=F,2025-05-26 10:00:00,33.485
SI=F,2025-05-26 11:00:00,33.525
SI=F,2025-05-26 12:00:00,33.6
SI=F,2025-05-26 13:00:00,33.625
SI=F,2025-05-26 14:00:00,33.645
SI=F,2025-05-26 18:00:00,33.61
SI=F,2025-05-26 19:00:00,33.58
SI=F,2025-05-26 20:00:00,33.68
SI=F,2025-05-26 21:00:00,33.495
SI=F,2025-05-26 22:00:00,33.55
SI=F,2025-05-26 23:00:00,33.475
SI=F,2025-05-27 00:00:00,33.42
SI=F,2025-05-27 01:00:00,33.36
SI=F,2025-05-27 02:00:00,33.27
SI=F,2025-05-27 03:00:00,33.12
SI=F,2025-05-27 04:00:00,33.19
SI=F,2025-05-27 05:00:00,33.145
SI=F,2025-05-27 06:00:00,33.015
SI=F,2025-05-27 07:00:00,32.97
SI=F,2025-05-27 08:00:00,32.99
SI=F,2025-05-27 09:00:00,33.17
SI=F,2025-05-27 10:00:00,33.15
SI=F,2025-05-27 11:00:00,33.21
SI=F,2025-05-27 12:00:00,33.29
SI=F,2025-05-27 13:00:00,33.315
SI=F,2025-05-27 14:00:00,33.355
SI=F,2025-05-27 15:00:00,33.37
SI=F,2025-05-27 16:00:00,33.385
SI=F,2025-05-27 18:00:00,33.38
SI=F,2025-05-27 19:00:00,33.395
SI=F,2025-05-27 20:00:00,33.395
SI=F,2025-05-27 21:00:00,33.37
SI=F,2025-05-27 22:00:00,33.44
SI=F,2025-05-27 23:00:00,33.395
SI=F,2025-05-28 00:00:00,33.375
SI=F,2025-05-28 01:00:00,33.42
SI=F,2025-05-28 02:00:00,33.315
SI=F,2025-05-28 03:00:00,33.495
SI=F,2025-05-28 04:00:00,33.51
SI=F,2025-05-28 05:00:00,33.565
SI=F,2025-05-28 06:00:00,33.44
SI=F,2025-05-28 07:00:00,33.39
SI=F,2025-05-28 08:00:00,33.375
SI=F,2025-05-28 09:00:00,33.275
SI=F,2025-05-28 10:00:00,33.235
SI=F,2025-05-28 11:00:00,33.135
SI=F,2025-05-28 12:00:00,33.145
