topic,datetime,post_count,avg_sentiment
CL=F,2025-05-22 15:00:00,1,-0.2411
CL=F,2025-05-22 16:00:00,1,0.9161
CL=F,2025-05-22 17:00:00,1,0.8672
CL=F,2025-05-22 18:00:00,2,-0.24975
CL=F,2025-05-22 19:00:00,3,0.189467
CL=F,2025-05-22 20:00:00,6,0.27825
CL=F,2025-05-22 21:00:00,5,-0.13434
CL=F,2025-05-22 22:00:00,2,-0.0843
CL=F,2025-05-22 23:00:00,3,0.484
CL=F,2025-05-23 00:00:00,2,0.26595
CL=F,2025-05-23 01:00:00,3,0.2504
CL=F,2025-05-23 02:00:00,4,0.372225
CL=F,2025-05-23 03:00:00,3,0.3905
CL=F,2025-05-23 05:00:00,3,-0.325967
CL=F,2025-05-23 06:00:00,1,0.0
CL=F,2025-05-23 07:00:00,1,-0.4207
CL=F,2025-05-23 09:00:00,1,0.9076
CL=F,2025-05-23 15:00:00,1,-0.2411
CL=F,2025-05-23 16:00:00,1,-0.4404
CL=F,2025-05-23 18:00:00,1,0.0
CL=F,2025-05-23 19:00:00,6,0.246633
CL=F,2025-05-23 20:00:00,2,0.7643
CL=F,2025-05-23 21:00:00,2,-0.41125
CL=F,2025-05-23 22:00:00,4,0.1499
CL=F,2025-05-23 23:00:00,8,0.296425
CL=F,2025-05-24 00:00:00,3,0.3028
CL=F,2025-05-24 01:00:00,5,0.30612
CL=F,2025-05-24 02:00:00,1,0.0
CL=F,2025-05-24 03:00:00,2,0.32615
CL=F,2025-05-24 04:00:00,1,0.34
CL=F,2025-05-24 07:00:00,2,0.0
CL=F,2025-05-24 11:00:00,1,0.631
CL=F,2025-05-24 19:00:00,2,0.0
CL=F,2025-05-24 20:00:00,1,-0.5848
CL=F,2025-05-24 22:00:00,1,-0.6486
CL=F,2025-05-25 00:00:00,2,0.72935
CL=F,2025-05-25 03:00:00,3,-0.000933333
CL=F,2025-05-25 04:00:00,1,0.0
CL=F,2025-05-25 05:00:00,3,-0.0116333
CL=F,2025-05-25 09:00:00,1,0.0
CL=F,2025-05-25 20:00:00,2,0.49525
CL=F,2025-05-25 21:00:00,1,0.34
CL=F,2025-05-25 22:00:00,1,0.0
CL=F,2025-05-26 00:00:00,1,0.4588
CL=F,2025-05-26 01:00:00,1,-0.2411
CL=F,2025-05-26 02:00:00,1,-0.4939
CL=F,2025-05-26 09:00:00,1,-0.7351
CL=F,2025-05-26 12:00:00,1,0.9835
CL=F,2025-05-26 15:00:00,1,-0.2411
CL=F,2025-05-26 18:00:00,1,-0.9087
CL=F,2025-05-26 19:00:00,2,0.81735
CL=F,2025-05-26 21:00:00,1,0.0
CL=F,2025-05-27 01:00:00,1,-0.2411
CL=F,2025-05-27 03:00:00,1,0.1901
CL=F,2025-05-27 04:00:00,1,0.4404
CL=F,2025-05-27 07:00:00,1,0.8658
CL=F,2025-05-27 09:00:00,1,0.894
CL=F,2025-05-27 13:00:00,1,0.5106
CL=F,2025-05-27 14:00:00,1,-0.8206
CL=F,2025-05-27 15:00:00,1,-0.2411
CL=F,2025-05-27 17:00:00,1,0.0
CL=F,2025-05-27 19:00:00,1,-0.4831
CL=F,2025-05-27 20:00:00,5,0.15574
CL=F,2025-05-27 21:00:00,7,0.265457
CL=F,2025-05-27 22:00:00,2,0.4847
CL=F,2025-05-27 23:00:00,4,0.0788
CL=F,2025-05-28 00:00:00,1,0.631
CL=F,2025-05-28 01:00:00,3,-0.152067
CL=F,2025-05-28 02:00:00,4,0.52295
CL=F,2025-05-28 03:00:00,8,0.10415
CL=F,2025-05-28 04:00:00,1,0.9571
CL=F,2025-05-28 06:00:00,1,0.5106
CL=F,2025-05-28 07:00:00,2,0.9042
CL=F,2025-05-28 08:00:00,1,0.992
CL=F,2025-05-28 10:00:00,1,0.0
CL=F,2025-05-28 11:00:00,2,-0.03835
CL=F,2025-05-28 13:00:00,2,-0.22815
CL=F,2025-05-28 15:00:00,2,-0.3313
CL=F,2025-05-28 18:00:00,2,0.2139
CL=F,2025-05-28 19:00:00,5,0.52752
CL=F,2025-05-28 20:00:00,4,0.074525
CL=F,2025-05-28 21:00:00,2,-0.3381
CL=F,2025-05-28 22:00:00,2,0.21665
CL=F,2025-05-28 23:00:00,3,0.562933
CL=F,2025-05-29 00:00:00,1,0.0
CL=F,2025-05-29 01:00:00,8,0.076975
CL=F,2025-05-29 02:00:00,4,0.2114
CL=F,2025-05-29 03:00:00,3,0.558767
GC=F,2025-05-24 05:00:00,4,0.70035
GC=F,2025-05-24 07:00:00,2,0.48335
GC=F,2025-05-24 08:00:00,2,-0.02695
GC=F,2025-05-24 11:00:00,1,0.2263
GC=F,2025-05-24 13:00:00,2,0.17925
GC=F,2025-05-24 14:00:00,2,0.24895
GC=F,2025-05-24 15:00:00,2,0.97555
GC=F,2025-05-24 17:00:00,2,0.4716
GC=F,2025-05-24 18:00:00,1,0.0
GC=F,2025-05-24 19:00:00,1,0.0
GC=F,2025-05-24 20:00:00,1,0.8957
GC=F,2025-05-24 21:00:00,3,-0.0986667
GC=F,2025-05-24 22:00:00,2,0.05975
GC=F,2025-05-24 23:00:00,2,0.5381
GC=F,2025-05-25 00:00:00,2,-0.1909
GC=F,2025-05-25 01:00:00,4,0.1417
GC=F,2025-05-25 02:00:00,5,-0.0256
GC=F,2025-05-25 03:00:00,5,-0.14422
GC=F,2025-05-25 04:00:00,1,0.0
GC=F,2025-05-25 05:00:00,1,0.0
GC=F,2025-05-25 06:00:00,2,0.27595
GC=F,2025-05-25 08:00:00,5,0.60928
GC=F,2025-05-25 09:00:00,1,0.0
GC=F,2025-05-25 10:00:00,3,0.354533
GC=F,2025-05-25 11:00:00,2,-0.26335
GC=F,2025-05-25 12:00:00,1,0.7872
GC=F,2025-05-25 16:00:00,1,0.5514
GC=F,2025-05-25 17:00:00,2,0.31845
GC=F,2025-05-25 18:00:00,3,0.438533
GC=F,2025-05-25 20:00:00,3,0.7951
GC=F,2025-05-25 21:00:00,4,0.2301
GC=F,2025-05-25 23:00:00,2,0.16935
GC=F,2025-05-26 00:00:00,1,-0.6752
GC=F,2025-05-26 01:00:00,2,0.5998
GC=F,2025-05-26 02:00:00,4,0.4918
GC=F,2025-05-26 03:00:00,1,0.4389
GC=F,2025-05-26 04:00:00,3,0.5387
GC=F,2025-05-26 07:00:00,2,0.252
GC=F,2025-05-26 08:00:00,1,0.0
GC=F,2025-05-26 09:00:00,2,0.82285
GC=F,2025-05-26 10:00:00,1,0.9254
GC=F,2025-05-26 11:00:00,1,0.3291
GC=F,2025-05-26 13:00:00,1,0.6843
GC=F,2025-05-26 14:00:00,1,-0.6199
GC=F,2025-05-26 17:00:00,1,0.0
GC=F,2025-05-26 18:00:00,2,0.6156
GC=F,2025-05-26 20:00:00,2,0.28595
GC=F,2025-05-26 21:00:00,2,-0.2681
GC=F,2025-05-26 22:00:00,6,0.1921
GC=F,2025-05-26 23:00:00,1,0.3612
GC=F,2025-05-27 01:00:00,2,0.4992
GC=F,2025-05-27 02:00:00,2,-0.29015
GC=F,2025-05-27 03:00:00,1,0.0
GC=F,2025-05-27 05:00:00,3,0.0454
GC=F,2025-05-27 06:00:00,2,0.28595
GC=F,2025-05-27 08:00:00,5,0.41094
GC=F,2025-05-27 10:00:00,1,-0.6369
GC=F,2025-05-27 13:00:00,1,-0.4404
GC=F,2025-05-27 15:00:00,2,0.6148
GC=F,2025-05-27 16:00:00,2,0.17425
GC=F,2025-05-27 18:00:00,2,0.3154
GC=F,2025-05-27 19:00:00,2,0.21005
GC=F,2025-05-27 20:00:00,3,0.103733
GC=F,2025-05-27 21:00:00,2,0.1659
GC=F,2025-05-27 22:00:00,2,0.7131
GC=F,2025-05-27 23:00:00,5,0.14624
GC=F,2025-05-28 00:00:00,4,0.223875
GC=F,2025-05-28 01:00:00,1,0.2003
GC=F,2025-05-28 02:00:00,5,0.30906
GC=F,2025-05-28 03:00:00,4,0.0911
GC=F,2025-05-28 04:00:00,2,0.1806
GC=F,2025-05-28 05:00:00,1,0.3182
GC=F,2025-05-28 06:00:00,1,0.157
GC=F,2025-05-28 07:00:00,1,-0.1556
GC=F,2025-05-28 08:00:00,1,0.4912
GC=F,2025-05-28 09:00:00,3,0.348333
GC=F,2025-05-28 10:00:00,5,0.30806
GC=F,2025-05-28 11:00:00,3,0.396533
GC=F,2025-05-28 12:00:00,1,0.9115
GC=F,2025-05-28 13:00:00,2,0.6016
GC=F,2025-05-28 15:00:00,1,0.0
GC=F,2025-05-28 17:00:00,1,0.128
GC=F,2025-05-28 20:00:00,1,0.0
GC=F,2025-05-28 21:00:00,3,0.297167
GC=F,2025-05-28 22:00:00,1,0.739
GC=F,2025-05-28 23:00:00,2,0.1591
GC=F,2025-05-29 00:00:00,4,0.43975
GC=F,2025-05-29 01:00:00,4,0.16215
GC=F,2025-05-29 02:00:00,4,0.3241
SI=F,2025-04-27 16:00:00,1,0.0
SI=F,2025-04-27 17:00:00,1,0.0
SI=F,2025-04-27 21:00:00,2,0.4393
SI=F,2025-04-27 22:00:00,2,0.0
SI=F,2025-04-27 23:00:00,1,0.3404
SI=F,2025-04-28 04:00:00,2,0.1591
SI=F,2025-04-28 07:00:00,1,0.8402
SI=F,2025-04-28 16:00:00,1,0.0
SI=F,2025-04-28 20:00:00,1,0.8748
SI=F,2025-04-29 04:00:00,1,0.9076
SI=F,2025-04-29 06:00:00,1,0.0
SI=F,2025-04-29 20:00:00,1,0.9442
SI=F,2025-04-29 21:00:00,2,0.5314
SI=F,2025-04-30 02:00:00,1,0.6808
SI=F,2025-04-30 03:00:00,1,0.3612
SI=F,2025-04-30 08:00:00,1,0.2023
SI=F,2025-04-30 23:00:00,1,0.6868
SI=F,2025-05-01 06:00:00,1,0.6683
SI=F,2025-05-01 07:00:00,1,0.4404
SI=F,2025-05-02 01:00:00,1,0.7048
SI=F,2025-05-02 07:00:00,1,0.9376
SI=F,2025-05-02 17:00:00,1,-0.0271
SI=F,2025-05-03 02:00:00,1,-0.0829
SI=F,2025-05-03 04:00:00,1,0.0
SI=F,2025-05-03 20:00:00,1,-0.765
SI=F,2025-05-03 21:00:00,1,0.7783
SI=F,2025-05-03 22:00:00,1,-0.34
SI=F,2025-05-04 00:00:00,1,0.8519
SI=F,2025-05-04 01:00:00,1,0.5327
SI=F,2025-05-04 02:00:00,1,0.3382
SI=F,2025-05-04 07:00:00,1,0.4859
SI=F,2025-05-04 09:00:00,1,0.0
SI=F,2025-05-04 19:00:00,1,0.3182
SI=F,2025-05-04 20:00:00,1,0.0
SI=F,2025-05-04 22:00:00,1,0.4872
SI=F,2025-05-04 23:00:00,1,0.6956
SI=F,2025-05-05 08:00:00,1,0.0
SI=F,2025-05-06 02:00:00,1,0.9177
SI=F,2025-05-06 06:00:00,2,-0.17865
SI=F,2025-05-06 18:00:00,1,0.7184
SI=F,2025-05-06 21:00:00,1,-0.5574
SI=F,2025-05-06 22:00:00,1,0.7753
SI=F,2025-05-06 23:00:00,1,0.2982
SI=F,2025-05-07 04:00:00,1,0.0
SI=F,2025-05-07 07:00:00,1,0.3612
SI=F,2025-05-07 15:00:00,2,-0.00045
SI=F,2025-05-08 01:00:00,1,0.0772
SI=F,2025-05-08 02:00:00,1,0.8823
SI=F,2025-05-08 10:00:00,1,0.8201
SI=F,2025-05-08 22:00:00,1,0.0
SI=F,2025-05-09 01:00:00,1,0.7003
SI=F,2025-05-09 11:00:00,1,-0.1779
SI=F,2025-05-09 14:00:00,1,0.1999
SI=F,2025-05-09 21:00:00,2,0.67425
SI=F,2025-05-09 23:00:00,1,0.0
SI=F,2025-05-10 01:00:00,1,-0.6249
SI=F,2025-05-10 03:00:00,1,0.0
SI=F,2025-05-10 11:00:00,2,0.78515
SI=F,2025-05-10 13:00:00,1,0.872
SI=F,2025-05-10 19:00:00,2,0.0
SI=F,2025-05-10 22:00:00,1,0.0
SI=F,2025-05-11 02:00:00,1,0.4738
SI=F,2025-05-11 03:00:00,1,0.6808
SI=F,2025-05-11 09:00:00,1,0.8858
SI=F,2025-05-11 14:00:00,1,-0.4846
SI=F,2025-05-11 21:00:00,1,-0.1779
SI=F,2025-05-12 02:00:00,1,0.0
SI=F,2025-05-12 03:00:00,1,0.4215
SI=F,2025-05-12 07:00:00,1,0.5574
SI=F,2025-05-12 16:00:00,1,0.0
SI=F,2025-05-12 23:00:00,1,0.2263
SI=F,2025-05-13 00:00:00,1,0.0
SI=F,2025-05-13 03:00:00,1,0.2354
SI=F,2025-05-14 02:00:00,2,0.0
SI=F,2025-05-14 04:00:00,3,0.323033
SI=F,2025-05-14 09:00:00,1,-0.4939
SI=F,2025-05-14 11:00:00,1,0.9003
SI=F,2025-05-14 12:00:00,1,-0.2624
SI=F,2025-05-14 17:00:00,1,-0.396
SI=F,2025-05-14 18:00:00,1,0.4404
SI=F,2025-05-14 22:00:00,1,0.5632
SI=F,2025-05-15 01:00:00,1,0.4404
SI=F,2025-05-15 02:00:00,1,0.6868
SI=F,2025-05-15 19:00:00,1,0.0
SI=F,2025-05-15 20:00:00,1,0.3182
SI=F,2025-05-16 02:00:00,1,0.7089
SI=F,2025-05-16 03:00:00,1,0.0
SI=F,2025-05-16 05:00:00,1,0.8903
SI=F,2025-05-16 09:00:00,1,0.0
SI=F,2025-05-16 20:00:00,1,0.8516
SI=F,2025-05-16 21:00:00,2,0.1517
SI=F,2025-05-16 22:00:00,1,0.5609
SI=F,2025-05-17 00:00:00,1,0.5106
SI=F,2025-05-17 03:00:00,1,-0.008
SI=F,2025-05-17 07:00:00,1,0.2263
SI=F,2025-05-17 19:00:00,1,-0.4767
SI=F,2025-05-17 21:00:00,2,0.20245
SI=F,2025-05-18 05:00:00,1,0.6597
SI=F,2025-05-18 06:00:00,1,0.4019
SI=F,2025-05-18 09:00:00,1,0.0
SI=F,2025-05-18 16:00:00,1,0.0
SI=F,2025-05-18 19:00:00,2,-0.20715
SI=F,2025-05-18 21:00:00,3,0.276
SI=F,2025-05-18 22:00:00,1,0.0
SI=F,2025-05-18 23:00:00,1,0.2263
SI=F,2025-05-19 00:00:00,1,0.5158
SI=F,2025-05-19 02:00:00,1,0.9558
SI=F,2025-05-19 04:00:00,1,-0.4767
SI=F,2025-05-19 11:00:00,2,0.11315
SI=F,2025-05-19 18:00:00,1,-0.7003
SI=F,2025-05-19 21:00:00,1,0.4404
SI=F,2025-05-19 22:00:00,1,0.0
SI=F,2025-05-20 00:00:00,3,0.397967
SI=F,2025-05-20 01:00:00,1,-0.886
SI=F,2025-05-20 04:00:00,1,0.6148
SI=F,2025-05-20 19:00:00,1,-0.7717
SI=F,2025-05-20 20:00:00,1,0.8176
SI=F,2025-05-20 21:00:00,1,0.7802
SI=F,2025-05-21 00:00:00,1,0.2551
SI=F,2025-05-21 03:00:00,1,0.8706
SI=F,2025-05-21 07:00:00,2,0.18735
SI=F,2025-05-21 08:00:00,1,0.0
SI=F,2025-05-21 09:00:00,2,0.3498
SI=F,2025-05-21 20:00:00,1,0.9417
SI=F,2025-05-22 00:00:00,1,0.0
SI=F,2025-05-22 05:00:00,1,0.0
SI=F,2025-05-22 09:00:00,1,0.8807
SI=F,2025-05-22 21:00:00,1,0.0
SI=F,2025-05-22 23:00:00,1,-0.1027
SI=F,2025-05-23 02:00:00,1,-0.6288
SI=F,2025-05-23 04:00:00,1,-0.316
SI=F,2025-05-23 16:00:00,1,0.4019
SI=F,2025-05-23 18:00:00,2,0.0
SI=F,2025-05-23 23:00:00,1,0.0
SI=F,2025-05-24 04:00:00,2,-0.23565
SI=F,2025-05-24 06:00:00,1,0.743
SI=F,2025-05-24 09:00:00,2,0.4368
SI=F,2025-05-24 12:00:00,1,0.4404
SI=F,2025-05-24 19:00:00,1,0.0
SI=F,2025-05-24 20:00:00,1,0.6884
SI=F,2025-05-24 23:00:00,1,0.0
SI=F,2025-05-25 01:00:00,1,0.4588
SI=F,2025-05-25 03:00:00,1,-0.1027
SI=F,2025-05-25 09:00:00,1,0.884
SI=F,2025-05-25 10:00:00,1,0.4404
SI=F,2025-05-25 20:00:00,1,0.7622
SI=F,2025-05-25 21:00:00,1,0.0
SI=F,2025-05-25 22:00:00,2,-0.148
SI=F,2025-05-26 04:00:00,1,-0.431
SI=F,2025-05-26 05:00:00,2,-0.0616
SI=F,2025-05-26 20:00:00,1,0.5176
SI=F,2025-05-27 00:00:00,1,0.0
SI=F,2025-05-27 01:00:00,2,0.0
SI=F,2025-05-27 03:00:00,2,0.0
SI=F,2025-05-27 04:00:00,2,0.5994
SI=F,2025-05-27 05:00:00,1,0.0
SI=F,2025-05-27 08:00:00,1,-0.4767
SI=F,2025-05-27 10:00:00,1,0.0
SI=F,2025-05-27 12:00:00,1,0.0
SI=F,2025-05-27 19:00:00,1,-0.2023
SI=F,2025-05-27 20:00:00,1,0.4696
SI=F,2025-05-28 01:00:00,1,0.6652
SI=F,2025-05-28 02:00:00,1,0.0
SI=F,2025-05-28 03:00:00,1,0.8759
SI=F,2025-05-28 06:00:00,2,-0.114
SI=F,2025-05-28 07:00:00,1,0.5719
SI=F,2025-05-28 09:00:00,1,0.0
SI=F,2025-05-28 21:00:00,1,0.0
SI=F,2025-05-29 02:00:00,1,0.0
